id;nombre;telefono;direccion;paciente_id;parentezco_id
1;though;exotic;reliable;1;1
2;whereas unabashedly provided;stupidity;defiant adored nervous;2;2
3;comfort amusing subgroup;perfectly;parser visitor;3;3
4;unique;rat;mangle at drift;4;4
5;teaching actuate;instead aw partial;fatten pish;5;5
6;innocently gee keenly;pension reproachfully;whereas;6;6
7;beneath poorly;phooey incidentally valuable;misguided uh-huh superior;7;7
8;mitigate for;incidentally queasily gentle;watery psst gah;8;8
9;once bronze;anti;in;9;9
10;dull;tenderize near;hidden alongside;10;10
